орон+pos+N+deriv+nmlz+num+sg+case+nom	ором^мул
орон+pos+N+deriv+nmlz+num+pl+case+nom	ором^мул^лар
орон+pos+N+deriv+nmlz+num+pl+case+dat	ором^мул^лар^га
орон+pos+N+deriv+nmlz+num+pl+case+acc	ором^мул^лар^ы
орон+pos+N+deriv+nmlz+num+pl+case+ins	ором^мул^лар^ынан
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+2pl	ором^мул^лар^гыт
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+1pl	ором^мул^лар^быт
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+3sg	ором^мул^лар^а
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+2sg	ором^мул^лар^ыҥ
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+1sg	ором^мул^лар^ым
орон+pos+N+deriv+nmlz+num+pl+case+com	ором^мул^лар^дыын
орон+pos+N+deriv+nmlz+num+pl+case+cmpr	ором^мул^лар^дааҕар
орон+pos+N+deriv+nmlz+num+pl+case+part	ором^мул^лар^да
орон+pos+N+deriv+nmlz+num+pl+case+abl	ором^мул^лар^дан
орон+pos+N+deriv+nmlz+num+pl+case+nom+poss+3pl	ором^мул^лара
орон+pos+N+deriv+nmlz+num+sg+case+com	ором^мул^луун
орон+pos+N+deriv+nmlz+num+sg+case+dat	ором^мул^га
орон+pos+N+deriv+nmlz+num+sg+case+cmpr	ором^мул^тааҕар
орон+pos+N+deriv+nmlz+num+sg+case+part	ором^мул^та
орон+pos+N+deriv+nmlz+num+sg+case+abl	ором^мул^тан
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+3pl	ором^мул^лара
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+2pl	ором^мул^гут
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+1pl	ором^мул^бут
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+3sg	ором^мул^а
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+2sg	ором^мул^уҥ
орон+pos+N+deriv+nmlz+num+sg+case+nom+poss+1sg	ором^мул^ум
орон+pos+N+deriv+nmlz+num+sg+case+acc	ором^мул^у
орон+pos+N+deriv+nmlz+num+sg+case+ins	ором^мул^унан
орон+pos+N+num+sg+case+nom+poss+1pl	ором^мут
орон+pos+N	орон
орон+pos+N+num+sg+case+nom	орон
орон+pos+N+deriv+vblz7+pos+V	орон^руй
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+sg+pers+3	орон^руй^аахд^ыыр
орон+pos+N+deriv+vblz7+pos+V+deriv+attd	орон^руй^аахтаа
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+1	орон^руй^аахтаа^бап^пыт
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+1	орон^руй^аахтаа^бап^пын
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+2	орон^руй^аахтаа^бак^кыт
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+2	орон^руй^аахтаа^бак^кын
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+3	орон^руй^аахтаа^бат
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+3	орон^руй^аахтаа^бат^тар
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+pl+pers+1	орон^руй^аахтаа^ыы^быт
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+sg+pers+1	орон^руй^аахтаа^ыы^бын
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+pl+pers+2	орон^руй^аахтаа^ыы^гыт
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+sg+pers+2	орон^руй^аахтаа^ыы^гын
орон+pos+N+deriv+vblz7+pos+V+deriv+attd+tense+pres+num+pl+pers+3	орон^руй^аахтаа^ыыл^лар
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom	орон^руй^ааччу
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom	орон^руй^ааччу^лар
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+dat	орон^руй^ааччу^лар^га
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+acc	орон^руй^ааччу^лар^ы
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+ins	орон^руй^ааччу^лар^ынан
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2pl	орон^руй^ааччу^лар^гыт
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1pl	орон^руй^ааччу^лар^быт
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3sg	орон^руй^ааччу^лар^а
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2sg	орон^руй^ааччу^лар^ыҥ
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1sg	орон^руй^ааччу^лар^ым
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+com	орон^руй^ааччу^лар^дыын
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+cmpr	орон^руй^ааччу^лар^дааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+part	орон^руй^ааччу^лар^да
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+abl	орон^руй^ааччу^лар^дан
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3pl	орон^руй^ааччу^лара
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+com	орон^руй^ааччу^луун
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+ins	орон^руй^ааччу^нан
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+acc	орон^руй^ааччу^ну
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+dat	орон^руй^ааччу^га
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+abl	орон^руй^ааччу^ттан
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+cmpr	орон^руй^ааччу^тааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+part	орон^руй^ааччу^та
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3pl	орон^руй^ааччу^лара
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2pl	орон^руй^ааччу^гут
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1pl	орон^руй^ааччу^бут
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2sg	орон^руй^ааччу^ҥ
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1sg	орон^руй^ааччу^м
орон+pos+N+deriv+vblz7+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3sg	орон^руй^ааччу^та
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+pl+pers+1	орон^руй^бап^пыт
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+sg+pers+1	орон^руй^бап^пын
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+pl+pers+2	орон^руй^бак^кыт
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+sg+pers+2	орон^руй^бак^кын
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+sg+pers+3	орон^руй^бат
орон+pos+N+deriv+vblz7+pos+V+tense+pres+polarity+neg+num+pl+pers+3	орон^руй^бат^тар
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+pl+pers+3	орон^руй^ал^лар
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+pl+pers+1	орон^руй^а^быт
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+sg+pers+1	орон^руй^а^бын
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+pl+pers+2	орон^руй^а^ҕыт
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+sg+pers+2	орон^руй^а^ҕын
орон+pos+N+deriv+vblz7+pos+V+tense+pres+num+sg+pers+3	орон^руй^ар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+1pl	орон^руй^дьум^мут
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom	орон^руй^дьун
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+com	орон^руй^дьун^нуун
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+dat	орон^руй^дьун^га
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+cmpr	орон^руй^дьун^тааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+part	орон^руй^дьун^та
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+abl	орон^руй^дьун^тан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+2pl	орон^руй^дьун^гут
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+3sg	орон^руй^дьун^а
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+3pl	орон^руй^дьун^нара
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+2sg	орон^руй^дьун^уҥ
