current_class;affix;affix_source;no_boundary_after;gloss;continuation_class;out_mark;phonet_left;allomorphs;desc_ru;source;frequency (1-4, 4 rarest);comment;;;;;;;;;;;;;;;;;;;;
Root;;;;;N, V;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nstem;;^;1;+pos+N;Ninfl, NsourceDerivation;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAdjStem;;;;;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
NsourceDerivation;;;;;NNaffix, Vaffix, NVaffix, NominalVaffix, NAdjAffix;;;;;;;;;;;;;;;;;;;;;;;;;;;
NNaffix;;һыт;;+deriv+ag;Ninfl;;;сыт, чыт, дьыт, ньыт;агенс;У:111;;также бывает от причастий будущего времени на -ыах;;;;;;;;;;;;;;;;;;;;
NNaffix;;чык;;+deriv+dim1;Ninfl;;;;диминутив;У:112;редк;;;;;;;;;;;;;;;;;;;;;
NNaffix;;ка;;+deriv+dim2;Ninfl;;;;диминутив/аттенуатив;У:112;редк;;;;;;;;;;;;;;;;;;;;;
NNaffix;;чаан;;+deriv+dim3;Ninfl;;;;диминутив;У:112;редк;;;;;;;;;;;;;;;;;;;;;
NNaffix;;кай;;+deriv+dim4;Ninfl;;;;диминутив;У:112;редк;;;;;;;;;;;;;;;;;;;;;
NNaffix;;ыйа;;+deriv+dim5;Ninfl;;;;диминутив;У:112;;;;;;;;;;;;;;;;;;;;;;
VNaffix;;ыы;;+deriv+dvb;Ninfl;;;;;У:118;;;;;;;;;;;;;;;;;;;;;;
VNaffix;;һын;;+deriv+dvb2;Ninfl;;;;;У:119;;в гр. приводится с долгим гласным, но образуется тоже якобы (почти) только от основ на долгий, поэтому нет разницы (?);;;;;;;;;;;;;;;;;;;;
VNaffix;;ааччы;;+deriv+ag.nom;Ninfl;;;;;У:119;;"NB: также входит и в глагольную парадигму (присоединяет аффикс 
сказуемости)
см. 121 парные слова, 122 частые сочетания";;;;;;;;;;;;;;;;;;;;
NNaffix;;был;;+deriv+nmlz;Ninfl;;;;;У:120;;;;;;;;;;;;;;;;;;;;;;
NNaffix;;ах;;+deriv+instr.nom;Ninfl;;;;инструмент / результат действия;У:120;;после гласных только -х;;;;;;;;;;;;;;;;;;;;
NNaffix;;лаҥ;;+deriv+nmlz2;Ninfl;;;;название действия (из монг.);У:120;;;;;;;;;;;;;;;;;;;;;;
NNaffix;;лта;;+deriv+nmlz3;Ninfl;;;;название действия (из монг.);У:120;;;;;;;;;;;;;;;;;;;;;;
Ninfl;;0;1;+num+sg;Ncase, NPoss;;;;;глоссы_файл;;номинатив;;;;;;;;;;;;;;;;;;;;
Ninfl;;лар;;+num+pl;Ncase, NPoss;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;0;1;+case+nom;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;ы;и;;+case+acc;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;та;;+case+part;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;га;;+case+dat;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;тан;;+case+abl;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;нан;;+case+ins;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;лыын;лиин;;+case+com;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
Ncase;;тааҕар;;+case+cmpr;#;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPoss;;;;;NPossNom, NPossAcc, NPossPart;;;;;глоссы_файл;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;м;;+case+nom+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;ҥ;;+case+nom+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;а;;+case+nom+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;быт;;+case+nom+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;гыт;;+case+nom+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossNom;;лара;;+case+nom+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossGen;;ын;;+case+gen+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossGen;;ларын;;+case+gen+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;бын;;+case+acc+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;ҕын;;+case+acc+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;ын;;+case+acc+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;бытын;;+case+acc+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;ҕытын;;+case+acc+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAcc;;ларын;;+case+acc+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;бына;;+case+acc+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;ҕына;;+case+part+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;ына;;+case+part+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;бытына;;+case+part+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;ҕытына;;+case+part+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossPart;;ларына;;+case+part+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;бар;;+case+dat+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;ҕар;;+case+dat+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;ыгар;;+case+dat+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;бытыгар;;+case+dat+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;ҕытыгар;;+case+dat+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossDat;;ларыгар;;+case+dat+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;быттан;;+case+abl+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;ҕыттан;;+case+abl+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;ыттан;;+case+abl+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;бытыттан;;+case+abl+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;ҕытыттан;;+case+abl+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossAbl;;ларыттан;;+case+abl+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;бынан;;+case+ins+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;ҕынан;;+case+ins+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;ынан;;+case+ins+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;бытынан;;+case+ins+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;ҕытынан;;+case+ins+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossIns;;ларынан;;+case+ins+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;быныын, бынаан;;+case+com+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;ҕыныын, ҕынаан;;+case+com+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;ыныын, ынаан;;+case+com+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;бытыныын, бытынаан;;+case+com+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;ҕытыныын, ҕытынаан;;+case+com+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCom;;ларыныын, ларынаан;;+case+com+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;бынааҕар;;+case+cmpr+poss+1sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;ҕынааҕар;;+case+cmpr+poss+2sg;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;ынааҕар;;+case+cmpr+poss+3sg;#;.poss3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;бытынааҕар;;+case+cmpr+poss+1pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;ҕытынааҕар;;+case+cmpr+poss+2pl;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPossCmpr;;ларынааҕар;;+case+cmpr+poss+3pl;#;.lar.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;парные существительные;У:113;;;;;;;;;;;;;;;;;;;;;;
Vaffix;;лаа;1;+deriv+vblz;Vstem;;;;;У:215-;;"здесь и аналогично для V может возникнуть бесконечная цепочка. Кажется надо ограничивать флагами
NB: привести все части речи которые вербализует лаа";;;;;;;;;;;;;;;;;;;;
NVaffix;;й;1;+deriv+vblz2;Vstem;;;;;У:219;;;;;;;;;;;;;;;;;;;;;;
AdjVaffix;;й;1;+deriv+vblz2;Vstem;;;;;У:219;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;й;1;+deriv+vblz2;Vstem;;;;;У:219;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;ыр;1;+deriv+vblz3;Vstem;.drv.vblz3.;;;становление, инхоатив;У:219-220;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;ар;1;+deriv+vblz3;Vstem;.drv.vblz3.;;;становление, инхоатив;У:219-220;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;аар;1;+deriv+vblz3;Vstem;.drv.vblz3.;;;становление, инхоатив;У:219-220;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;тый;1;+deriv+vblz4;Vstem;;;;становление, инхоатив;У:220;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;сый;1;+deriv+vblz4;Vstem;;;;становление, инхоатив;У:220;;;;;;;;;;;;;;;;;;;;;;
Vaffix;;тый;1;+deriv+vblz4;Vstem;;;;;У:220;4;;;;;;;;;;;;;;;;;;;;;
Vaffix;;сый;1;+deriv+vblz4;Vstem;;;;;У:220;4;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;мсый;1;+deriv+vblz5;Vstem;;;;;У:220;;"""выставлять себя Х-овым"" кажется какое-то околограм значение..";;;;;;;;;;;;;;;;;;;;
NominalVaffix;;рҕаа;1;+deriv+vblz6;Vstem;;;;;У:221;;;;;;;;;;;;;;;;;;;;;;
NominalVaffix;;рый;1;+deriv+vblz7;Vstem;;;;;У:222;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vstem;;^;1;+pos+V;Vinfl, VsourceDerivation;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vinfl;;;;;Vindic, Vepist, Vcond2, Vdeont, Vagent;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vindic;;;;;VindicTenses, VindicPtcp, Vcvb;;;;;;;;;;;;;;;;;;;;;;;;;;;
VindicTenses;;;;;Vpres, Vimpf, Vfut, Vpst, VpstNarr, VpstRes1, VpstEpisodic;;;;;;;;;;;;;;;;;;;;;;;;;;;
VindicPtcp;;;;;VptcpPres, VptcpPast, VptcpFut, VptcpEpisodic;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vcvb;;;;;VcvbAnt, VcvbNeg, VcvbSim, VcvbPurp, VcvbImmedAnt;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vepist;;;;;VepistMood, VptcpEpist;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vdeont;;;;;VpresDeont, VptcpDeont, VfutDeont, VptcpFutDeont;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vagent;;;;;VagentMood, VagentPtcp;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vpres;;ар;;+tense+pres;VpredNumPers;.tns.pres.;;;;;;;;;;;;;;;;;;;;;;;;;;
Vpres;;бат;;+tense+pres+polarity+neg;VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vimpf;;ар;;+tense+impf;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vimpf;;бат;;+tense+impf+polarity+neg;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
