use,category,fullname,name,structural_desc,structural_change,is_optional,replacement_op,left_context,right_context,description,comment,source,examples
,affix_specific,,VerbalizingYJ,й,ый,,,"Consonant ""^""","""^""",,,У:219,
,affix_specific,,VerbalizingR,""".drv.vrblz3.""  [ыр | ар]",р,,,"Vowel ""^"" ",,"allomorphs with vowels (except aar, see deletion below) appear only after consonant",,У:219-220,
,affix_specific,,VerbalizingRaar,"Vowel ""^"" "".drv.vrblz3.""","""^""",,@->,,,,,,
,affix_specific,,VerbalizingRaarDelete,""".drv.vrblz3.""",0,,,,,,,,
,affix_specific,,VerbalizingMSYJ,мсый,ымсый,,,"Consonant ""^""","""^""",,,У:221,
,affix_specific,,VerbalizingRGHAA,рҕаа,ырҕаа,,,"Consonant ""^""","""^""",,,У:221,
,affix_specific,,PresTenseARafterVowel,ар,ыыр,,,"Vowel ""^"" "".tns.pres."" ",,,,,
,affix_specific,,PresTenseYYR,"Vowel ""^"" "".tns.pres."" ","""^""",,@->,,,,,,
,affix_specific,,PresTenseAR1or2,""".tns.pres."" ар",а,,,"""^""","""^"" ["".1sg."" | "".1pl."" | "".2sg."" | "".2pl."" ]",,,У:228,
,affix_specific,,PresTenseYYR1or2,""".tns.pres."" ыыр",ыы,,,"""^""","""^"" ["".1sg."" | "".1pl."" | "".2sg."" | "".2pl."" ]",,inferred,,
,affix_specific,,PresTenseAR3PL,""".tns.pres."" ар",ал,,,"""^""","""^"" "".3pl.""",,,У:228,
,affix_specific,,PresTenseYYR3PL,""".tns.pres."" ыыр",ыыл,,,"""^""","""^"" "".3pl.""",,inferred,,
,affix_specific,,DeleteTensePres,""".tns.pres.""",0,,,,,,,,
,affix_specific,,FutTenseContrNeg,"["".tns.fut.neg."" | "".tns.fut.contr.""] ыах ",ыа,,,"""^""","""^"" ["".1sg."" | "".2sg."" | "".3sg."" ]",,,,
,affix_specific,,FutTenseContrPos,""".tns.fut."" ыах",ыа,1,,"""^""","""^"" ["".1sg."" | "".2sg."" | "".3sg."" ]",,,,
,affix_specific,,FutTenseContr3SG,"ыа ""^"" "".3sg."" а",ыа,,,"""^""",,,,,
